,,Title,,Year,Rating,,,Available On,,
30,,Aquaslash,,2019,N/A,4.2/10,53/100,+Rent or Buy,,Want To SeeSeen
31,,Wander,,2020,18+,4.9/10,60/100,+Rent or Buy,,Want To SeeSeen
32,,The Rental,,2020,18+,5.7/10,65/100,+Rent or Buy,,Want To SeeSeen
33,,The Call,,2020,N/A,7.1/10,63/100,,,Want To SeeSeen
34,,Two Distant Strangers,,2020,18+,6.9/10,66/100,,,Want To SeeSeen
35,,Olympus Has Fallen,,2013,18+,6.5/10,72/100,+Rent or Buy,,Want To SeeSeen
36,,Gretel & Hansel,,2020,13+,5.4/10,63/100,+Rent or Buy,,Want To SeeSeen
37,,The Hunger Games: Catching Fire,,2013,13+,7.5/10,79/100,+Rent or Buy,,Want To SeeSeen
38,,The Purge: Election Year,,2016,18+,6.0/10,68/100,+Rent or Buy,,Want To SeeSeen
39,,Hunt for the Wilderpeople,,2016,13+,7.9/10,77/100,+Rent or Buy,,Want To SeeSeen
40,,This Is the End,,2013,18+,6.6/10,73/100,+Rent or Buy,,Want To SeeSeen
41,,Ad Astra,,2019,13+,6.5/10,71/100,+Rent or Buy,,Want To SeeSeen
42,,American Assassin,,2017,18+,6.2/10,69/100,+Rent or Buy,,Want To SeeSeen
43,,Iron Mask,,2019,13+,4.7/10,57/100,+Rent or Buy,,Want To SeeSeen
44,,Good Kids,,2016,18+,6.1/10,65/100,+Rent or Buy,,Want To SeeSeen
45,,Furious 7,,2015,13+,7.1/10,75/100,+Rent or Buy,,Want To SeeSeen
46,,Real Steel,,2011,13+,7.0/10,75/100,+Rent or Buy,,Want To SeeSeen
