,,Title,,Year,Rating,,,Available On,,
27,,The Lion King,,2019,7+,6.9/10,77/100,+ Rent or Buy,,Want To SeeSeen
28,,John Wick: Chapter 2,,2017,18+,7.5/10,79/100,Rent or Buy,,Want To SeeSeen
29,,Kingsman: The Golden Circle,,2017,18+,6.7/10,75/100,+ Rent or Buy,,Want To SeeSeen
30,,12 Years a Slave,,2013,18+,8.1/10,82/100,+ Rent or Buy,,Want To SeeSeen
31,,Uncut Gems,,2019,18+,7.4/10,78/100,+ Rent or Buy,,Want To SeeSeen
32,,The Nice Guys,,2016,18+,7.4/10,78/100,+ Rent or Buy,,Want To SeeSeen
33,,The Big Sick,,2017,18+,7.5/10,77/100,+ Rent or Buy,,Want To SeeSeen
34,,The Circle,,2017,13+,5.3/10,68/100,+ Rent or Buy,,Want To SeeSeen
35,,Barb and Star Go to Vista Del Mar,,2021,13+,6.4/10,68/100,Rent or Buy,,Want To SeeSeen
36,,Thunder Road,,2018,18+,7.1/10,86/100,+ Rent or Buy,,Want To SeeSeen
37,,The Farewell,,2019,7+,7.6/10,74/100,+ Rent or Buy,,Want To SeeSeen
38,,Abominable,,2019,7+,7.0/10,70/100,+ Rent or Buy,,Want To SeeSeen
39,,Ma Rainey's Black Bottom,,2020,18+,7.0/10,83/100,,,Want To SeeSeen
40,,Jungle,,2017,18+,6.7/10,72/100,+ Rent or Buy,,Want To SeeSeen
41,,Game Night,,2018,18+,6.9/10,76/100,+ Rent or Buy,,Want To SeeSeen
42,,The Rental,,2020,18+,5.7/10,65/100,+ Rent or Buy,,Want To SeeSeen
43,,The Mountain Between Us,,2017,13+,6.4/10,71/100,+ Rent or Buy,,Want To SeeSeen
44,,Rocketman,,2019,18+,7.3/10,77/100,+ Rent or Buy,,Want To SeeSeen
45,,The Hobbit: An Unexpected Journey,,2012,13+,7.8/10,82/100,+ Rent or Buy,,Want To SeeSeen
46,,Guns Akimbo,,2020,18+,6.3/10,69/100,+ Rent or Buy,,Want To SeeSeen
47,,Hustlers,,2019,18+,6.3/10,70/100,+ Rent or Buy,,Want To SeeSeen
48,,Yesterday,,2019,13+,6.8/10,73/100,+ Rent or Buy,,Want To SeeSeen
49,,Supernova,,2021,18+,6.7/10,65/100,+ Rent or Buy,,Want To SeeSeen
0,,Jumanji: Welcome to the Jungle,,2017,13+,6.9/10,76/100,Rent or Buy,,Want To SeeSeen
1,,Stree,,2018,7+,7.6/10,83/100,+ Rent or Buy,,Want To SeeSeen
2,,Mudbound,,2017,18+,7.4/10,88/100,,,Want To SeeSeen
3,,Miss Sloane,,2016,18+,7.5/10,75/100,+ Rent or Buy,,Want To SeeSeen
4,,Mirage,,2018,18+,7.4/10,72/100,,,Want To SeeSeen
5,,Cargo,,2017,N/A,6.3/10,80/100,,,Want To SeeSeen
6,,Trolls World Tour,,2020,7+,6.1/10,66/100,+ Rent or Buy,,Want To SeeSeen
7,,Voyagers,,2021,13+,5.4/10,63/100,Rent or Buy,,Want To SeeSeen
8,,Black Box,,2020,16+,6.2/10,60/100,,,Want To SeeSeen
9,,Togo,,2019,7+,8.0/10,75/100,,,Want To SeeSeen
10,,Annabelle Comes Home,,2019,18+,5.9/10,68/100,+ Rent or Buy,,Want To SeeSeen
11,,The Hateful Eight,,2015,18+,7.8/10,81/100,+ Rent or Buy,,Want To SeeSeen
12,,The Cloverfield Paradox,,2018,13+,5.5/10,68/100,,,Want To SeeSeen
13,,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",,2017,18+,7.7/10,88/100,,,Want To SeeSeen
14,,Miss Peregrine's Home for Peculiar Children,,2016,13+,6.7/10,74/100,+ Rent or Buy,,Want To SeeSeen
15,,Willy's Wonderland,,2021,18+,5.6/10,64/100,Rent or Buy,,Want To SeeSeen
16,,Kiss the Ground,,2020,18+,8.3/10,85/100,,,Want To SeeSeen
17,,The Lost City of Z,,2017,13+,6.6/10,72/100,+ Rent or Buy,,Want To SeeSeen
18,,About Time,,2013,13+,7.8/10,80/100,+ Rent or Buy,,Want To SeeSeen
19,,Maleficent,,2014,7+,7.0/10,75/100,+ Rent or Buy,,Want To SeeSeen
20,,Lucy,,2014,18+,6.4/10,75/100,+ Rent or Buy,,Want To SeeSeen
21,,Big Time Adolescence,,2020,18+,7.0/10,81/100,,,Want To SeeSeen
22,,Robin Hood,,2018,13+,5.3/10,68/100,+ Rent or Buy,,Want To SeeSeen
23,,The Greatest Showman,,2017,7+,7.6/10,79/100,+ Rent or Buy,,Want To SeeSeen
24,,Glass,,2019,13+,6.6/10,66/100,Rent or Buy,,Want To SeeSeen
25,,13th,,2016,18+,8.2/10,92/100,,,Want To SeeSeen
26,,Manchester by the Sea,,2016,18+,7.8/10,78/100,+ Rent or Buy,,Want To SeeSeen
27,,Maze Runner: The Scorch Trials,,2015,13+,6.3/10,71/100,+ Rent or Buy,,Want To SeeSeen
28,,The Judge,,2014,18+,7.4/10,76/100,+ Rent or Buy,,Want To SeeSeen
29,,The Handmaiden,,2016,N/A,8.1/10,78/100,+ Rent or Buy,,Want To SeeSeen
30,,Tell Me Who I Am,,2019,18+,7.6/10,86/100,,,Want To SeeSeen
31,,The Age of Adaline,,2015,13+,7.2/10,77/100,+ Rent or Buy,,Want To SeeSeen
32,,Thelma,,2017,N/A,7.0/10,70/100,+ Rent or Buy,,Want To SeeSeen
33,,Hotel Transylvania 3: Summer Vacation,,2018,7+,6.3/10,70/100,+ Rent or Buy,,Want To SeeSeen
