Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On
Invisible Life,2019,18+,7.8/10,81/100,
A Special Day,1977,,8.1/10,81/100,+ Rent or Buy
Team Foxcatcher,2016,16+,7.3/10,81/100,
Warrior,2011,13+,8.1/10,81/100,+ Rent or Buy
My Darling Clementine,1946,,7.8/10,81/100,Rent or Buy
The Big Short,2015,18+,7.8/10,81/100,+ Rent or Buy
The Ritual,2017,18+,6.3/10,81/100,
Guru,2007,13+,7.7/10,81/100,+ Rent or Buy
Kelly's Heroes,1970,7+,7.6/10,81/100,Rent or Buy
Rocco and His Brothers,1960,,8.3/10,81/100,+ Rent or Buy
Casablanca,1943,7+,8.5/10,81/100,+ Rent or Buy
Palmer,2021,18+,7.3/10,81/100,
Yellow Submarine,1968,all,7.4/10,81/100,Rent or Buy
Le Trou,1960,,8.5/10,81/100,Rent or Buy
Wild at Heart,1990,18+,7.2/10,81/100,Rent or Buy
There Will Be Blood,2007,18+,8.2/10,81/100,+ Rent or Buy
Columbus,2017,13+,7.2/10,81/100,+ Rent or Buy
A Short Film About Killing,1988,,8.1/10,81/100,
Zombieland,2009,18+,7.6/10,81/100,+ Rent or Buy
The Hobbit: The Desolation of Smaug,2013,13+,7.8/10,81/100,+ Rent or Buy
Shaun of the Dead,2004,18+,7.9/10,81/100,+ Rent or Buy
Blow-Up,1966,,7.6/10,81/100,Rent or Buy
Psycho,1960,18+,8.5/10,81/100,Rent or Buy
Spider-Man: Far From Home,2019,13+,7.5/10,81/100,+ Rent or Buy
Big Time Adolescence,2020,18+,7.0/10,81/100,
Masquerade,2012,,7.8/10,81/100,+ Rent or Buy
Ninotchka,1939,,7.9/10,81/100,Rent or Buy
Black Panther,2018,13+,7.3/10,81/100,+ Rent or Buy
Indiana Jones and the Last Crusade,1989,13+,8.2/10,81/100,+ Rent or Buy
The Pixar Story,2007,all,7.8/10,81/100,+ Rent or Buy
Vampyr,1932,13+,7.5/10,81/100,+ Rent or Buy
Happiest Season,2020,13+,6.6/10,81/100,
Wonder Woman,2017,13+,7.4/10,80/100,+ Rent or Buy
The Kings of Summer,2013,18+,7.1/10,80/100,Rent or Buy
The Perfection,2018,18+,6.1/10,80/100,
Monty Python and the Holy Grail,1975,7+,8.2/10,80/100,+ Rent or Buy
Spider-Man: Homecoming,2017,13+,7.4/10,80/100,+ Rent or Buy
The Bourne Identity,2002,13+,7.9/10,80/100,+ Rent or Buy
The Help,2011,13+,8.0/10,80/100,+ Rent or Buy
Stray Dog,1949,,7.9/10,80/100,
The Bad Sleep Well,1960,,8.0/10,80/100,
Revanche,2008,,7.5/10,80/100,+ Rent or Buy
Requiem for a Dream,2000,18+,8.3/10,80/100,+ Rent or Buy
Au Hasard Balthazar,1966,,7.9/10,80/100,+ Rent or Buy
L'Eclisse,1962,,7.9/10,80/100,+ Rent or Buy
Minority Report,2002,13+,7.6/10,80/100,+ Rent or Buy
Mutiny on the Bounty,1935,,7.7/10,80/100,+ Rent or Buy
Incredibles 2,2018,7+,7.6/10,80/100,+ Rent or Buy
Nightcrawler,2014,18+,7.8/10,80/100,+ Rent or Buy
L'Atalante,1934,,7.8/10,80/100,+ Rent or Buy
Nostalgia,1983,,8.1/10,80/100,+ Rent or Buy
The Social Network,2010,13+,7.7/10,80/100,+ Rent or Buy
"What Happened, Miss Simone?",2015,,7.6/10,80/100,+ Rent or Buy
Big Hero 6,2014,7+,7.8/10,80/100,+ Rent or Buy
Back to the Future Part II,1989,7+,7.8/10,80/100,+ Rent or Buy
Mystery Train,1989,18+,7.6/10,80/100,+ Rent or Buy
Predator,1987,18+,7.8/10,80/100,+ Rent or Buy
Harry Potter and the Prisoner of Azkaban,2004,7+,7.9/10,80/100,+ Rent or Buy
Dave Chappelle: Sticks & Stones,2019,18+,8.5/10,80/100,
300,2007,18+,7.6/10,80/100,+ Rent or Buy
A Quiet Place,2018,13+,7.5/10,80/100,+ Rent or Buy
Life of Pi,2012,7+,7.9/10,80/100,+ Rent or Buy
The Testament of Dr. Mabuse,1933,,8.0/10,80/100,
Confessions,2010,,7.7/10,80/100,Rent or Buy
Kill Bill: Vol. 2,2004,18+,8.0/10,80/100,+ Rent or Buy
Argo,2012,18+,7.7/10,80/100,+ Rent or Buy
Ant-Man,2015,13+,7.3/10,80/100,+ Rent or Buy
The Hunt,2012,18+,8.3/10,80/100,+ Rent or Buy
Amadeus,1984,18+,8.3/10,80/100,+ Rent or Buy
Sin City,2005,18+,8.0/10,80/100,+ Rent or Buy
Kingsman: The Secret Service,2014,18+,7.7/10,80/100,+ Rent or Buy
Cuba and the Cameraman,2017,,8.3/10,80/100,
One Child Nation,2019,18+,7.5/10,80/100,
Once Upon a Time in the West,1968,13+,8.5/10,80/100,+ Rent or Buy
The Father,2020,13+,8.3/10,80/100,Rent or Buy
Oliver Twist,1948,,7.8/10,80/100,+ Rent or Buy
Red Desert,1964,,7.6/10,80/100,
The Pursuit of Happyness,2006,13+,8.0/10,80/100,+ Rent or Buy
Once Upon a Time… in Hollywood,2019,18+,7.6/10,80/100,+ Rent or Buy
The Spirit of the Beehive,1973,,7.9/10,80/100,
The King's Speech,2010,18+,8.0/10,80/100,+ Rent or Buy
The Woodsman,2004,18+,7.2/10,80/100,
Avengers: Age of Ultron,2015,13+,7.3/10,80/100,+ Rent or Buy
Germany Year Zero,1948,,7.9/10,80/100,+ Rent or Buy
Alice in the Cities,1974,,8.0/10,80/100,+ Rent or Buy
Gran Torino,2008,18+,8.1/10,80/100,+ Rent or Buy
Songs from the Second Floor,2000,,7.6/10,80/100,Rent or Buy
Citizen Kane,1941,7+,8.3/10,80/100,+ Rent or Buy
Mishima: A Life in Four Chapters,1985,18+,8.0/10,80/100,+ Rent or Buy
A Perfect World,1993,13+,7.5/10,80/100,Rent or Buy
The Times of Harvey Milk,1984,,8.3/10,80/100,+ Rent or Buy
Brotherhood of the Wolf,2001,18+,7.0/10,80/100,Rent or Buy
Rain Man,1988,18+,8.0/10,80/100,+ Rent or Buy
The Hunger Games,2012,13+,7.2/10,80/100,+ Rent or Buy
Rocky,1976,7+,8.1/10,80/100,+ Rent or Buy
Apocalypse Now,1979,18+,8.4/10,80/100,Rent or Buy
Richard Pryor: Live in Concert,1979,18+,8.1/10,80/100,
Paddleton,2019,18+,7.2/10,80/100,
Jaws,1975,7+,8.0/10,80/100,+ Rent or Buy
Monterey Pop,1968,,8.0/10,80/100,+ Rent or Buy
John Wick,2014,18+,7.4/10,80/100,Rent or Buy
Masculin Féminin,1966,,7.5/10,80/100,
The Bourne Ultimatum,2007,13+,8.0/10,80/100,+ Rent or Buy
Thappad,2020,,6.8/10,80/100,
Victor/Victoria,1982,7+,7.6/10,80/100,Rent or Buy
Cronos,1994,16+,6.7/10,80/100,+ Rent or Buy
Five Broken Cameras,2011,,7.9/10,80/100,+ Rent or Buy
Murmur of the Heart,1971,18+,7.7/10,80/100,+ Rent or Buy
Jojo Rabbit,2019,13+,7.9/10,80/100,+ Rent or Buy
Days of Being Wild,1990,,7.5/10,80/100,Rent or Buy
American Movie,1999,18+,7.9/10,80/100,Rent or Buy
Manon of the Spring,1986,7+,8.0/10,80/100,Rent or Buy
The Girl with the Dragon Tattoo,2011,18+,7.8/10,80/100,+ Rent or Buy
1922,2017,18+,6.3/10,80/100,
La La Land,2016,13+,8.0/10,80/100,+ Rent or Buy
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,7+,7.8/10,80/100,
"Three Billboards Outside Ebbing, Missouri",2017,18+,8.1/10,80/100,+ Rent or Buy
Trainspotting,1996,18+,8.1/10,80/100,+ Rent or Buy
Calibre,2018,18+,6.8/10,80/100,
Sonatine,1993,18+,7.5/10,80/100,+ Rent or Buy
The Invisible Guest,2016,18+,8.1/10,80/100,+ Rent or Buy
Il Sorpasso,1962,,8.3/10,80/100,+ Rent or Buy
Aladdin,1992,all,8.0/10,80/100,+ Rent or Buy
The Hater,2020,18+,7.1/10,80/100,
The Earrings of Madame de...,1953,,8.0/10,80/100,+ Rent or Buy
Being Elmo: A Puppeteer's Journey,2011,7+,7.6/10,80/100,+ Rent or Buy
X-Men: First Class,2011,13+,7.7/10,80/100,+ Rent or Buy
The Young Girls of Rochefort,1967,all,7.7/10,80/100,+ Rent or Buy
Casino,1995,18+,8.2/10,80/100,+ Rent or Buy
It's a Wonderful Life,1946,7+,8.6/10,80/100,+ Rent or Buy
Children of Men,2006,18+,7.9/10,80/100,+ Rent or Buy
Toy Story 2,1999,all,7.9/10,80/100,+ Rent or Buy
Hot Fuzz,2007,18+,7.8/10,80/100,+ Rent or Buy
Princess Mononoke,1997,13+,8.4/10,80/100,+ Rent or Buy
Cast Away,2000,13+,7.8/10,80/100,+ Rent or Buy
That Obscure Object of Desire,1977,18+,7.9/10,80/100,+ Rent or Buy
I Am Legend,2007,13+,7.2/10,80/100,+ Rent or Buy
Rear Window,1954,7+,8.5/10,80/100,Rent or Buy
Late Night,2019,18+,6.5/10,80/100,
Star Trek,2009,13+,7.9/10,80/100,Rent or Buy
Moana,2016,7+,7.6/10,80/100,+ Rent or Buy
Hidden Figures,2016,7+,7.8/10,80/100,+ Rent or Buy
Baby Driver,2017,18+,7.6/10,80/100,Rent or Buy
Bright,2017,18+,6.3/10,80/100,
Cargo,2017,,6.3/10,80/100,
The Christmas Chronicles,2018,7+,7.0/10,80/100,
Seven Brides for Seven Brothers,1954,all,7.4/10,80/100,Rent or Buy
Thirteen,2003,18+,6.8/10,80/100,Rent or Buy
The Tin Drum,1979,18+,7.5/10,80/100,+ Rent or Buy
(500) Days of Summer,2009,13+,7.7/10,80/100,+ Rent or Buy
Get Out,2017,18+,7.7/10,80/100,Rent or Buy
Star Wars: Episode III - Revenge of the Sith,2005,13+,7.5/10,80/100,+ Rent or Buy
About Time,2013,13+,7.8/10,80/100,+ Rent or Buy
Soylent Green,1973,7+,7.1/10,80/100,+ Rent or Buy
A Patch of Blue,1965,,8.0/10,80/100,+ Rent or Buy
Dying to Survive,2018,,7.9/10,80/100,+ Rent or Buy
Red Beard,1965,,8.4/10,79/100,
The Rescuers,1977,all,6.9/10,79/100,+ Rent or Buy
Frozen,2013,7+,7.4/10,79/100,+ Rent or Buy
Green Book,2018,13+,8.2/10,79/100,Rent or Buy
The Gentlemen,2019,18+,7.8/10,79/100,+ Rent or Buy
Harry Potter and the Chamber of Secrets,2002,7+,7.4/10,79/100,+ Rent or Buy
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,7+,8.4/10,79/100,+ Rent or Buy
Enter the Void,2009,,7.3/10,79/100,Rent or Buy
The Passenger,1975,13+,7.6/10,79/100,Rent or Buy
The Terminal,2004,13+,7.4/10,79/100,+ Rent or Buy
The Hunger Games: Catching Fire,2013,13+,7.5/10,79/100,+ Rent or Buy
36th Precinct,2004,,7.1/10,79/100,
The Thing About Harry,2020,13+,7.0/10,79/100,+ Rent or Buy
Metropolis,2001,13+,7.2/10,79/100,Rent or Buy
The Edge of Democracy,2019,16+,7.2/10,79/100,
Manhattan Murder Mystery,1993,7+,7.3/10,79/100,Rent or Buy
L.A. Confidential,1997,18+,8.2/10,79/100,+ Rent or Buy
The Perks of Being a Wallflower,2012,13+,8.0/10,79/100,+ Rent or Buy
Lion,2016,13+,8.0/10,79/100,+ Rent or Buy
The Conjuring,2013,18+,7.5/10,79/100,+ Rent or Buy
Cría cuervos…,1976,7+,8.0/10,79/100,+ Rent or Buy
My Own Private Idaho,1991,18+,7.0/10,79/100,Rent or Buy
Insomnia,1997,,7.3/10,79/100,+ Rent or Buy
28 Days Later,2002,18+,7.6/10,79/100,+ Rent or Buy
22 July,2018,18+,6.8/10,79/100,
"Lock, Stock and Two Smoking Barrels",1998,18+,8.2/10,79/100,+ Rent or Buy
Room,2015,18+,8.1/10,79/100,+ Rent or Buy
Ready Player One,2018,13+,7.4/10,79/100,+ Rent or Buy
Full Metal Jacket,1987,18+,8.3/10,79/100,Rent or Buy
American Psycho,2000,18+,7.6/10,79/100,+ Rent or Buy
Zodiac,2007,18+,7.7/10,79/100,+ Rent or Buy
Unforgiven,1992,18+,8.2/10,79/100,+ Rent or Buy
Harry Potter and the Goblet of Fire,2005,13+,7.7/10,79/100,+ Rent or Buy
Moon,2009,18+,7.9/10,79/100,+ Rent or Buy
Ocean's Eleven,2001,13+,7.7/10,79/100,+ Rent or Buy
Ex Machina,2015,18+,7.7/10,79/100,+ Rent or Buy
The Magnificent Ambersons,1942,,7.7/10,79/100,Rent or Buy
A Star Is Born,2018,18+,7.6/10,79/100,+ Rent or Buy
The Breakfast Club,1985,18+,7.8/10,79/100,+ Rent or Buy
After the Thin Man,1936,,7.7/10,79/100,Rent or Buy
Europa,1991,18+,7.6/10,79/100,
Dersu Uzala,1975,all,8.3/10,79/100,
Superbad,2007,18+,7.6/10,79/100,+ Rent or Buy
Dumplin',2018,13+,6.6/10,79/100,
A Twelve-Year Night,2018,18+,7.5/10,79/100,
Now You See Me,2013,13+,7.2/10,79/100,+ Rent or Buy
Suburra,2015,,7.4/10,79/100,Rent or Buy
He Loves Me… He Loves Me Not,2002,13+,7.2/10,79/100,+ Rent or Buy
Moonrise Kingdom,2012,13+,7.8/10,79/100,+ Rent or Buy
Downfall,2004,18+,8.2/10,79/100,+ Rent or Buy
Million Dollar Baby,2004,13+,8.1/10,79/100,+ Rent or Buy
Chinatown,1974,18+,8.2/10,79/100,+ Rent or Buy
Auntie Mame,1958,,7.9/10,79/100,Rent or Buy
E.T. the Extra-Terrestrial,1982,7+,7.8/10,79/100,+ Rent or Buy
Groundhog Day,1993,7+,8.0/10,79/100,+ Rent or Buy
The Thing,1982,18+,8.1/10,79/100,+ Rent or Buy
Victim,1961,,7.8/10,79/100,+ Rent or Buy
Mystic River,2003,18+,7.9/10,79/100,+ Rent or Buy
Beauty and the Beast,1991,all,8.0/10,79/100,+ Rent or Buy
Watchmen,2009,18+,7.6/10,79/100,+ Rent or Buy
The Shape of Water,2017,18+,7.3/10,79/100,+ Rent or Buy
Taken,2008,13+,7.8/10,79/100,+ Rent or Buy
Big Fish,2003,13+,8.0/10,79/100,+ Rent or Buy
The Hobbit: The Battle of the Five Armies,2014,13+,7.4/10,79/100,+ Rent or Buy
Shoeshine,1946,,8.0/10,79/100,+ Rent or Buy
Black Swan,2010,18+,8.0/10,79/100,Rent or Buy
The Theory of Everything,2014,13+,7.7/10,79/100,+ Rent or Buy
It,2017,18+,7.3/10,79/100,+ Rent or Buy
Wreck-It Ralph,2012,7+,7.7/10,79/100,+ Rent or Buy
The Servant,1963,,7.9/10,79/100,+ Rent or Buy
Exotica,1994,18+,7.1/10,79/100,+ Rent or Buy
Scott Pilgrim vs. the World,2010,13+,7.5/10,79/100,+ Rent or Buy
La Belle Noiseuse,1991,,7.6/10,79/100,+ Rent or Buy
The Trial,1962,,7.8/10,79/100,+ Rent or Buy
Despicable Me,2010,7+,7.6/10,79/100,+ Rent or Buy
Salesman,1969,all,7.8/10,79/100,+ Rent or Buy
Tangled,2010,7+,7.7/10,79/100,+ Rent or Buy
Hey Arnold! The Jungle Movie,2017,7+,7.6/10,79/100,+ Rent or Buy
Mrs. Miniver,1942,,7.6/10,79/100,Rent or Buy
Devdas,2002,all,7.6/10,79/100,Rent or Buy
The Women,1939,,7.8/10,79/100,Rent or Buy
After the Wedding,2006,18+,7.7/10,79/100,Rent or Buy
The Greatest Showman,2017,7+,7.6/10,79/100,+ Rent or Buy
Pandora's Box,1929,13+,7.9/10,79/100,
Another Round,2020,18+,7.8/10,79/100,+ Rent or Buy
Cure,1997,18+,7.4/10,79/100,+ Rent or Buy
Harry Potter and the Deathly Hallows: Part 1,2010,13+,7.7/10,79/100,+ Rent or Buy
Mission: Impossible - Fallout,2018,13+,7.7/10,79/100,+ Rent or Buy
Dallas Buyers Club,2013,18+,8.0/10,79/100,+ Rent or Buy
Almost Famous,2000,18+,7.9/10,79/100,+ Rent or Buy
Iron Man 3,2013,13+,7.1/10,79/100,+ Rent or Buy
Caramel,2007,7+,7.1/10,79/100,+ Rent or Buy
Walkabout,1971,7+,7.6/10,79/100,+ Rent or Buy
The X Files,1998,13+,7.0/10,79/100,Rent or Buy
The Exorcist,1973,18+,8.0/10,79/100,+ Rent or Buy
Platoon,1986,18+,8.1/10,79/100,+ Rent or Buy
Your Name.,2016,7+,8.4/10,79/100,Rent or Buy
The Fifth Element,1997,13+,7.7/10,79/100,+ Rent or Buy
John Wick: Chapter 2,2017,18+,7.5/10,79/100,Rent or Buy
District 9,2009,18+,7.9/10,79/100,+ Rent or Buy
Drive,2011,18+,7.8/10,79/100,Rent or Buy
Nobody,2021,18+,7.4/10,79/100,Rent or Buy
Nomadland,2021,18+,7.4/10,79/100,+ Rent or Buy
Twelve Monkeys,1995,18+,8.0/10,79/100,+ Rent or Buy
Smiles of a Summer Night,1955,,7.8/10,79/100,+ Rent or Buy
A Brief History of Time,1991,all,7.3/10,79/100,+ Rent or Buy
The Hangover,2009,18+,7.7/10,79/100,Rent or Buy
Home Alone,1990,7+,7.6/10,79/100,+ Rent or Buy
Life of Brian,1979,18+,8.1/10,79/100,+ Rent or Buy
Sherlock Holmes,2009,13+,7.6/10,79/100,Rent or Buy
"Crazy, Stupid, Love.",2011,13+,7.4/10,79/100,+ Rent or Buy
Ittefaq,2017,7+,7.2/10,79/100,+ Rent or Buy
Apocalypto,2006,18+,7.8/10,79/100,+ Rent or Buy
Call Me by Your Name,2017,18+,7.9/10,79/100,+ Rent or Buy
Dead Poets Society,1989,7+,8.1/10,79/100,Rent or Buy
Adam Sandler: 100% Fresh,2018,18+,7.6/10,79/100,
The Best Offer,2013,18+,7.8/10,79/100,Rent or Buy
Hamlet,1948,,7.6/10,79/100,+ Rent or Buy
Pickpocket,1959,,7.7/10,79/100,Rent or Buy
Veronica,2017,18+,6.2/10,79/100,
The Notebook,2004,13+,7.8/10,79/100,+ Rent or Buy
Phoenix,2014,13+,7.3/10,79/100,+ Rent or Buy
Thirteen Days,2000,13+,7.3/10,79/100,Rent or Buy
Spider-Man,2002,13+,7.3/10,79/100,+ Rent or Buy
Win Win,2011,18+,7.1/10,79/100,Rent or Buy
Captain America: The First Avenger,2011,13+,6.9/10,79/100,+ Rent or Buy
Training Day,2001,18+,7.7/10,79/100,+ Rent or Buy
Fury,1936,,7.9/10,79/100,Rent or Buy
Pom Poko,1994,7+,7.3/10,79/100,+ Rent or Buy
Ballad of a Soldier,1959,,8.2/10,78/100,
Sound of Metal,2020,18+,7.8/10,78/100,
North Face,2008,,7.4/10,78/100,+ Rent or Buy
The Corporation,2003,,8.0/10,78/100,Rent or Buy
The Babysitter,2017,18+,6.3/10,78/100,
Harry Potter and the Half-Blood Prince,2009,7+,7.6/10,78/100,+ Rent or Buy
An Autumn Afternoon,1962,,8.1/10,78/100,+ Rent or Buy
11:14,2003,18+,7.2/10,78/100,Rent or Buy
Stand by Me,1986,18+,8.1/10,78/100,+ Rent or Buy
Promising Young Woman,2020,18+,7.5/10,78/100,Rent or Buy
Alone,2020,18+,6.2/10,78/100,+ Rent or Buy
A Whisker Away,2020,7+,6.7/10,78/100,
Kick-Ass,2010,18+,7.6/10,78/100,+ Rent or Buy
The Swimming Pool,1969,,7.1/10,78/100,Rent or Buy
The Bourne Supremacy,2004,13+,7.7/10,78/100,+ Rent or Buy
Le Doulos,1962,,7.8/10,78/100,+ Rent or Buy
Blow the Man Down,2019,18+,6.4/10,78/100,
Nothing But the Truth,2008,18+,7.2/10,78/100,+ Rent or Buy
Mona Lisa,1986,18+,7.3/10,78/100,+ Rent or Buy
How to Die in Oregon,2011,,8.3/10,78/100,+ Rent or Buy
The Wizard of Oz,1939,all,8.0/10,78/100,+ Rent or Buy
The Treatment,2014,13+,7.1/10,78/100,+ Rent or Buy
Captain Fantastic,2016,18+,7.9/10,78/100,+ Rent or Buy
Dodsworth,1936,,7.8/10,78/100,+ Rent or Buy
This Boy's Life,1993,18+,7.3/10,78/100,Rent or Buy
"You, the Living",2007,,7.5/10,78/100,+ Rent or Buy
Greed,1925,,8.1/10,78/100,Rent or Buy
The Song of Sparrows,2008,7+,7.9/10,78/100,+ Rent or Buy
North by Northwest,1959,,8.3/10,78/100,+ Rent or Buy
Dances with Wolves,1990,13+,8.0/10,78/100,+ Rent or Buy
The Iron Giant,1999,7+,8.0/10,78/100,+ Rent or Buy
The Great Escape,1963,,8.2/10,78/100,+ Rent or Buy
How to Train Your Dragon 2,2014,7+,7.8/10,78/100,+ Rent or Buy
Shock Corridor,1963,,7.4/10,78/100,+ Rent or Buy
Iron Man 2,2010,13+,7.0/10,78/100,+ Rent or Buy
Braven,2018,18+,5.9/10,78/100,+ Rent or Buy
Vertigo,1958,7+,8.3/10,78/100,+ Rent or Buy
Gravity,2013,13+,7.7/10,78/100,Rent or Buy
Fort Apache,1948,,7.5/10,78/100,Rent or Buy
Alphaville,1965,all,7.1/10,78/100,+ Rent or Buy
Thor,2011,13+,7.0/10,78/100,+ Rent or Buy
The Nightmare Before Christmas,1993,7+,8.0/10,78/100,+ Rent or Buy
Wind River,2017,18+,7.7/10,78/100,+ Rent or Buy
Early Summer,1951,,8.2/10,78/100,+ Rent or Buy
Welcome,2009,,7.5/10,78/100,+ Rent or Buy
Back to the Future Part III,1990,7+,7.4/10,78/100,+ Rent or Buy
George Harrison: Living in the Material World,2011,13+,8.2/10,78/100,Rent or Buy
Late Autumn,1960,,8.0/10,78/100,
Silver Linings Playbook,2012,18+,7.7/10,78/100,+ Rent or Buy
Collateral,2004,18+,7.5/10,78/100,+ Rent or Buy
Saw,2004,18+,7.6/10,78/100,+ Rent or Buy
The Endless Trench,2019,,7.2/10,78/100,
Captain Marvel,2019,13+,6.9/10,78/100,+ Rent or Buy
Before the Rain,1994,,8.0/10,78/100,
The Cremator,1969,,8.0/10,78/100,+ Rent or Buy
Alice,1988,,7.5/10,78/100,
Let the Right One In,2008,18+,7.9/10,78/100,monswarr+ Rent or Buy
Ghostbusters,1984,7+,7.8/10,78/100,+ Rent or Buy
The Face of Another,1966,,8.0/10,78/100,
Star Wars: The Last Jedi,2017,13+,7.0/10,78/100,+ Rent or Buy
Black Orpheus,1959,7+,7.5/10,78/100,+ Rent or Buy
Mulholland Drive,2001,18+,7.9/10,78/100,+ Rent or Buy
Phineas and Ferb The Movie: Candace Against the Universe,2020,all,7.2/10,78/100,
Venom,2018,13+,6.7/10,78/100,+ Rent or Buy
Train to Busan,2016,16+,7.6/10,78/100,hiya+ Rent or Buy
The Brood,1979,18+,6.8/10,78/100,+ Rent or Buy
Closely Watched Trains,1966,,7.7/10,78/100,+ Rent or Buy
DuckTales: The Movie - Treasure of the Lost Lamp,1990,all,6.9/10,78/100,+ Rent or Buy
Into the Inferno,2016,,7.2/10,78/100,
The Nice Guys,2016,18+,7.4/10,78/100,+ Rent or Buy
Collective,2020,,8.2/10,78/100,+ Rent or Buy
Summer with Monika,1953,18+,7.5/10,78/100,+ Rent or Buy
Harry Potter and the Order of the Phoenix,2007,13+,7.5/10,78/100,+ Rent or Buy
Dum Laga Ke Haisha,2015,,7.5/10,78/100,+ Rent or Buy
Captain Phillips,2013,13+,7.8/10,78/100,+ Rent or Buy
Slumdog Millionaire,2008,18+,8.0/10,78/100,Rent or Buy
An Angel at My Table,1990,18+,7.5/10,78/100,+ Rent or Buy
Toy Story 4,2019,all,7.7/10,78/100,+ Rent or Buy
On the Town,1949,,7.4/10,78/100,Rent or Buy
Cinema Paradiso,1988,7+,8.5/10,78/100,+ Rent or Buy
Shrek 2,2004,7+,7.2/10,78/100,+ Rent or Buy
Man on Fire,2004,18+,7.7/10,78/100,+ Rent or Buy
JCVD,2008,18+,7.1/10,78/100,+ Rent or Buy
X-Men,2000,13+,7.4/10,78/100,+ Rent or Buy
Pirates of the Caribbean: Dead Man's Chest,2006,13+,7.3/10,78/100,+ Rent or Buy
Grave of the Fireflies,1988,7+,8.5/10,78/100,Rent or Buy
Hotel Rwanda,2004,13+,8.1/10,78/100,+ Rent or Buy
The Goonies,1985,7+,7.8/10,78/100,+ Rent or Buy
Hobson's Choice,1954,,7.7/10,78/100,+ Rent or Buy
Diary of a Country Priest,1951,,7.9/10,78/100,Rent or Buy
In Search of Darkness: A Journey Into Iconic '80s Horror,2019,,8.0/10,78/100,
Manchester by the Sea,2016,18+,7.8/10,78/100,+ Rent or Buy
Udta Punjab,2016,18+,7.8/10,78/100,
Gaslight,1940,,7.4/10,78/100,+ Rent or Buy
Paisan,1946,,7.7/10,78/100,
Twelve O'Clock High,1949,,7.7/10,78/100,Rent or Buy
Sicario,2015,18+,7.6/10,78/100,+ Rent or Buy
Mission: Impossible - Ghost Protocol,2011,13+,7.4/10,78/100,+ Rent or Buy
The Man Without a Past,2002,13+,7.7/10,78/100,Rent or Buy
Black Hawk Down,2001,18+,7.7/10,78/100,+ Rent or Buy
The Handmaiden,2016,,8.1/10,78/100,+ Rent or Buy
Help!,1965,all,7.2/10,78/100,Rent or Buy
Nocturnal Animals,2016,18+,7.5/10,78/100,+ Rent or Buy
Fury,2014,18+,7.5/10,78/100,Rent or Buy
Superman Returns,2006,13+,6.0/10,78/100,+ Rent or Buy
Edward Scissorhands,1990,13+,7.9/10,78/100,+ Rent or Buy
In Bruges,2008,18+,7.9/10,78/100,+ Rent or Buy
Prometheus,2012,18+,7.0/10,78/100,+ Rent or Buy
Lost in Translation,2003,16+,7.7/10,78/100,+ Rent or Buy
The Time Machine,1960,all,7.6/10,78/100,Rent or Buy
Sherlock Holmes: A Game of Shadows,2011,13+,7.5/10,78/100,+ Rent or Buy
Tinker Bell and the Lost Treasure,2009,all,6.7/10,78/100,+ Rent or Buy
Memories of Murder,2003,all,8.1/10,78/100,+ Rent or Buy
Moneyball,2011,13+,7.6/10,78/100,+ Rent or Buy
Hachi: A Dog's Tale,2009,all,8.1/10,78/100,+ Rent or Buy
Brokeback Mountain,2005,18+,7.7/10,78/100,+ Rent or Buy
The Phantom of Liberty,1974,18+,7.9/10,78/100,+ Rent or Buy
Drunken Angel,1948,,7.7/10,78/100,
Unbreakable,2000,13+,7.3/10,78/100,+ Rent or Buy
The Butterfly Effect,2004,18+,7.6/10,78/100,+ Rent or Buy
Even the Rain,2010,,7.4/10,78/100,+ Rent or Buy
Revenge of the Nerds,1984,18+,6.6/10,78/100,
The Adventures of Ichabod and Mr. Toad,1949,7+,7.0/10,78/100,+ Rent or Buy
L'Argent,1983,,7.5/10,78/100,+ Rent or Buy
John Wick: Chapter 3 - Parabellum,2019,18+,7.4/10,78/100,Rent or Buy
Gloomy Sunday,1999,,7.8/10,78/100,
Fireworks Wednesday,2006,,7.7/10,78/100,+ Rent or Buy
Limitless,2011,13+,7.4/10,78/100,+ Rent or Buy
Superman/Batman: Public Enemies,2009,13+,7.2/10,78/100,+ Rent or Buy
Circus of Books,2019,,7.1/10,78/100,
24: Redemption,2008,13+,7.5/10,78/100,+ Rent or Buy
Man of Steel,2013,13+,7.0/10,78/100,+ Rent or Buy
Lucky Number Slevin,2006,18+,7.7/10,78/100,+ Rent or Buy
Star Trek Into Darkness,2013,13+,7.7/10,78/100,Rent or Buy
The Stanford Prison Experiment,2015,18+,6.9/10,78/100,Rent or Buy
Lady Bird,2017,18+,7.4/10,78/100,+ Rent or Buy
In Cold Blood,1967,18+,7.9/10,78/100,Rent or Buy
The Unbearable Lightness of Being,1988,18+,7.3/10,78/100,Rent or Buy
Sisters,1973,18+,6.9/10,77/100,+ Rent or Buy
Onward,2020,7+,7.4/10,77/100,+ Rent or Buy
Yankee Doodle Dandy,1942,all,7.7/10,77/100,Rent or Buy
Claire's Knee,1970,,7.6/10,77/100,
Ant-Man and the Wasp,2018,13+,7.0/10,77/100,+ Rent or Buy
Payback,1999,18+,7.1/10,77/100,Rent or Buy
