Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
Hearts of Darkness: A Filmmaker's Apocalypse,1991,18+,8.1/10,84/100,Rent or Buy,150
A Secret Love,2020,18+,7.9/10,84/100,,150
American Factory,2019,13+,7.4/10,84/100,,150
Nine Queens,2000,18+,7.9/10,84/100,Rent or Buy,150
A Quiet Place,2018,13+,7.5/10,84/100,+ Rent or Buy,150
Amarcord,1973,18+,7.9/10,84/100,+ Rent or Buy,200
Aliens,1986,18+,8.3/10,84/100,+ Rent or Buy,200
One Flew Over the Cuckoo's Nest,1975,18+,8.7/10,84/100,+ Rent or Buy,200
Heavenly Creatures,1994,18+,7.3/10,84/100,Rent or Buy,200
His House,2020,16+,6.5/10,84/100,,200
Psych: The Movie,2017,7+,7.5/10,84/100,,200
Vivre Sa Vie,1962,N/A,8.0/10,84/100,,200
The Guernsey Literary & Potato Peel Pie Society,2018,16+,7.4/10,84/100,,200
House,1977,16+,7.4/10,84/100,+ Rent or Buy,200
Beautiful Boy,2018,18+,7.3/10,84/100,,200
Super Deluxe,2019,18+,8.4/10,84/100,+ Rent or Buy,200
Iron Man,2008,13+,7.9/10,84/100,+ Rent or Buy,200
Toy Story,1995,all,8.3/10,84/100,+ Rent or Buy,200
Autumn Sonata,1978,7+,8.2/10,83/100,+ Rent or Buy,200
Late Spring,1949,N/A,8.3/10,83/100,+ Rent or Buy,200
Star Wars: Return of the Jedi,1983,7+,8.3/10,83/100,+ Rent or Buy,200
Stranger Than Paradise,1984,18+,7.5/10,83/100,+ Rent or Buy,200
The Imitation Game,2014,13+,8.0/10,83/100,+ Rent or Buy,200
Kabhi Khushi Kabhie Gham,2001,all,7.4/10,83/100,+ Rent or Buy,200
One Night in Miami...,2021,18+,7.1/10,83/100,,200
The Pianist,2002,18+,8.5/10,83/100,+ Rent or Buy,200
My Dinner with Andre,1981,7+,7.8/10,83/100,+ Rent or Buy,200
Die Hard,1988,18+,8.2/10,83/100,+ Rent or Buy,200
Snatch,2000,18+,8.3/10,83/100,+ Rent or Buy,200
The Way of the Dragon,1972,18+,7.3/10,83/100,+ Rent or Buy,200
Harry Potter and the Deathly Hallows: Part 2,2011,13+,8.1/10,83/100,+ Rent or Buy,200
The Big Lebowski,1998,18+,8.1/10,83/100,+ Rent or Buy,200
Avatar,2009,13+,7.8/10,83/100,+ Rent or Buy,200
V for Vendetta,2006,18+,8.1/10,83/100,+ Rent or Buy,200
Bill Burr: Paper Tiger,2019,18+,8.2/10,83/100,,200
Coco,2017,7+,8.4/10,83/100,+ Rent or Buy,200
Eternal Sunshine of the Spotless Mind,2004,18+,8.3/10,83/100,Rent or Buy,200
Manhunter,1986,18+,7.2/10,83/100,Rent or Buy,200
The Night Comes for Us,2018,18+,7.0/10,83/100,,200
Bird Box,2018,18+,6.6/10,83/100,,200
Cléo from 5 to 7,1962,N/A,7.9/10,83/100,,200
My Life as a Dog,1985,N/A,7.6/10,83/100,+ Rent or Buy,200
The Distinguished Citizen,2016,N/A,7.5/10,83/100,,200
The Terminator,1984,18+,8.0/10,83/100,+ Rent or Buy,200
Finding Nemo,2003,all,8.1/10,83/100,+ Rent or Buy,200
Army of Shadows,1969,N/A,8.2/10,83/100,Rent or Buy,200
Oldboy,2003,18+,8.4/10,83/100,+ Rent or Buy,200
Robin Hood,1973,all,7.6/10,83/100,+ Rent or Buy,200
City of God,2002,18+,8.6/10,83/100,+ Rent or Buy,200
No Direction Home: Bob Dylan,2005,all,8.5/10,83/100,+ Rent or Buy,200
Fallen Angels,1995,18+,7.7/10,83/100,+ Rent or Buy,200
Sweet Smell of Success,1957,N/A,8.0/10,83/100,Rent or Buy,200
Inside Out,2015,7+,8.1/10,83/100,+ Rent or Buy,200
Angels with Dirty Faces,1938,N/A,7.9/10,83/100,Rent or Buy,200
1917,2019,18+,8.3/10,83/100,+ Rent or Buy,200
Reservoir Dogs,1992,18+,8.3/10,83/100,Rent or Buy,250
Prisoners,2013,16+,8.1/10,83/100,+ Rent or Buy,250
Pad Man,2018,13+,7.9/10,83/100,,250
Captain America: Civil War,2016,13+,7.8/10,83/100,+ Rent or Buy,250
12 Angry Men,1957,all,9.0/10,83/100,+ Rent or Buy,250
American History X,1998,18+,8.5/10,83/100,Rent or Buy,250
Spider-Man: Into the Spider-Verse,2018,7+,8.4/10,83/100,Rent or Buy,250
"Monsters, Inc.",2001,all,8.1/10,83/100,+ Rent or Buy,250
The Thin Blue Line,1988,N/A,8.0/10,83/100,+ Rent or Buy,250
Logan,2017,18+,8.1/10,83/100,+ Rent or Buy,250
Primer,2004,13+,6.9/10,83/100,Rent or Buy,250
"The Good, the Bad and the Ugly",1966,18+,8.8/10,83/100,+ Rent or Buy,250
Kill Bill: Vol. 1,2003,18+,8.1/10,83/100,+ Rent or Buy,250
What Happened to Monday,2017,18+,6.9/10,83/100,,250
A Short Film About Love,1988,N/A,8.2/10,83/100,,250
Once Upon a Time in China,1991,18+,7.3/10,83/100,+ Rent or Buy,250
Onibaba,1964,18+,8.0/10,83/100,,250
Touching the Void,2003,18+,8.0/10,83/100,Rent or Buy,250
Hacksaw Ridge,2016,18+,8.1/10,83/100,+ Rent or Buy,250
Picnic at Hanging Rock,1975,7+,7.5/10,83/100,+ Rent or Buy,250
Blade Runner,1982,18+,8.1/10,83/100,+ Rent or Buy,250
Harlan County U.S.A.,1977,7+,8.3/10,83/100,,250
The Usual Suspects,1995,18+,8.5/10,83/100,+ Rent or Buy,250
Day for Night,1973,7+,8.0/10,83/100,Rent or Buy,250
No Country for Old Men,2007,18+,8.1/10,83/100,+ Rent or Buy,250
Fireworks,1997,18+,7.8/10,83/100,+ Rent or Buy,250
Skyfall,2012,13+,7.7/10,83/100,+ Rent or Buy,250
The Martian,2015,13+,8.0/10,83/100,+ Rent or Buy,250
A Clockwork Orange,1971,18+,8.3/10,83/100,+ Rent or Buy,250
Good Will Hunting,1997,18+,8.3/10,83/100,+ Rent or Buy,250
How to Train Your Dragon,2010,7+,8.1/10,83/100,+ Rent or Buy,250
Following,1999,18+,7.5/10,83/100,+ Rent or Buy,250
Orpheus,1950,N/A,8.0/10,83/100,+ Rent or Buy,250
Pirates of the Caribbean: The Curse of the Black Pearl,2003,13+,8.0/10,83/100,+ Rent or Buy,250
Toy Story 3,2010,all,8.2/10,82/100,+ Rent or Buy,250
The White Helmets,2016,16+,7.5/10,82/100,,250
Knife in the Water,1962,N/A,7.5/10,82/100,+ Rent or Buy,250
Thor: Ragnarok,2017,13+,7.9/10,82/100,+ Rent or Buy,250
Watership Down,1978,7+,7.6/10,82/100,+ Rent or Buy,250
Man Bites Dog,1992,18+,7.5/10,82/100,+ Rent or Buy,250
Eurovision Song Contest: The Story of Fire Saga,2020,13+,6.5/10,82/100,,250
Knives Out,2019,13+,7.9/10,82/100,+ Rent or Buy,250
A Beautiful Mind,2001,13+,8.2/10,82/100,+ Rent or Buy,250
Zack Snyder's Justice League,2021,18+,8.1/10,82/100,,250
Harry Potter and the Prisoner of Azkaban,2004,7+,7.9/10,82/100,+ Rent or Buy,250
Ghost Dog: The Way of the Samurai,1999,18+,7.5/10,82/100,Rent or Buy,250
Star Wars: The Force Awakens,2015,13+,7.8/10,82/100,+ Rent or Buy,250
Invader ZIM: Enter the Florpus,2019,7+,7.5/10,82/100,,250
Fargo,1996,18+,8.1/10,82/100,+ Rent or Buy,250
Blade Runner 2049,2017,18+,8.0/10,82/100,+ Rent or Buy,250
Anthony Jeselnik: Thoughts and Prayers,2015,18+,7.8/10,82/100,,300
Rush,2013,18+,8.1/10,82/100,+ Rent or Buy,300
Braveheart,1995,18+,8.3/10,82/100,+ Rent or Buy,300
La Notte,1961,N/A,8.1/10,82/100,+ Rent or Buy,300
Pan's Labyrinth,2006,18+,8.2/10,82/100,+ Rent or Buy,300
Titanic,1997,13+,7.8/10,82/100,+ Rent or Buy,300
Tenet,2020,13+,7.4/10,82/100,+ Rent or Buy,300
Waking Life,2001,18+,7.8/10,82/100,Rent or Buy,300
2001: A Space Odyssey,1968,all,8.3/10,82/100,+ Rent or Buy,300
Full Metal Jacket,1987,18+,8.3/10,82/100,+ Rent or Buy,300
Chasing Coral,2017,N/A,8.1/10,82/100,,300
Dunkirk,2017,13+,7.8/10,82/100,+ Rent or Buy,300
Mahanati,2018,7+,8.5/10,82/100,+ Rent or Buy,300
Shrek,2001,7+,7.9/10,82/100,+ Rent or Buy,300
12 Years a Slave,2013,18+,8.1/10,82/100,+ Rent or Buy,300
Brittany Runs a Marathon,2019,18+,6.8/10,82/100,,300
Zootopia,2016,7+,8.0/10,82/100,+ Rent or Buy,300
Twin Peaks: Fire Walk with Me,1992,18+,7.3/10,82/100,+ Rent or Buy,300
The Death of Mr. Lazarescu,2005,18+,7.9/10,82/100,+ Rent or Buy,300
World of Tomorrow,2015,all,8.1/10,82/100,Rent or Buy,300
Happy as Lazzaro,2018,13+,7.5/10,82/100,,300
Ma Rainey's Black Bottom,2020,18+,7.0/10,82/100,,300
Deadpool 2,2018,18+,7.7/10,82/100,+ Rent or Buy,300
The Revenant,2015,18+,8.0/10,82/100,+ Rent or Buy,300
Heat,1995,18+,8.2/10,82/100,+ Rent or Buy,300
Spotlight,2015,18+,8.1/10,82/100,+ Rent or Buy,300
The Hunchback of Notre Dame,1996,all,6.9/10,82/100,+ Rent or Buy,300
Captain America: The Winter Soldier,2014,13+,7.7/10,82/100,+ Rent or Buy,300
Divorce Italian Style,1961,N/A,8.0/10,82/100,,300
The Incredibles,2004,7+,8.0/10,82/100,+ Rent or Buy,300
The Long Good Friday,1980,18+,7.6/10,82/100,+ Rent or Buy,300
Edge of Tomorrow,2014,13+,7.9/10,82/100,Rent or Buy,300
The Hobbit: An Unexpected Journey,2012,13+,7.8/10,82/100,+ Rent or Buy,300
Le Trou,1960,N/A,8.5/10,82/100,Rent or Buy,300
Sultan,2016,N/A,7.0/10,82/100,+ Rent or Buy,300
Guardians of the Galaxy Vol. 2,2017,13+,7.6/10,82/100,+ Rent or Buy,300
Rogue One: A Star Wars Story,2016,13+,7.8/10,82/100,+ Rent or Buy,300
X-Men: Days of Future Past,2014,13+,7.9/10,82/100,+ Rent or Buy,300
Crumb,1994,18+,8.0/10,82/100,Rent or Buy,300
Into the Wild,2007,18+,8.1/10,82/100,+ Rent or Buy,300
The Sacrifice,1986,7+,8.1/10,82/100,+ Rent or Buy,300
Häxan,1922,N/A,7.7/10,82/100,+ Rent or Buy,300
Gimme Shelter,1970,18+,7.8/10,82/100,+ Rent or Buy,300
Donnie Darko,2001,18+,8.0/10,82/100,+ Rent or Buy,300
Doctor Strange,2016,13+,7.5/10,82/100,+ Rent or Buy,300
The Conjuring,2013,18+,7.5/10,82/100,+ Rent or Buy,300
Rocco and His Brothers,1960,N/A,8.3/10,82/100,+ Rent or Buy,300
Suspicion,1941,N/A,7.4/10,82/100,+ Rent or Buy,300
Guru,2007,13+,7.7/10,82/100,+ Rent or Buy,300
Open Hearts,2002,18+,7.5/10,82/100,,300
The Shop on Main Street,1965,7+,8.3/10,82/100,,350
Casino Royale,2006,13+,8.0/10,82/100,+ Rent or Buy,350
Revanche,2008,N/A,7.5/10,82/100,+ Rent or Buy,350
My Night at Maud's,1969,7+,7.9/10,81/100,+ Rent or Buy,350
Indiana Jones and the Last Crusade,1989,13+,8.2/10,81/100,+ Rent or Buy,350
Kal Ho Naa Ho,2003,all,7.9/10,81/100,+ Rent or Buy,350
Zombieland,2009,18+,7.6/10,81/100,+ Rent or Buy,350
Ford v Ferrari,2019,13+,8.1/10,81/100,+ Rent or Buy,350
The Princess Bride,1987,7+,8.1/10,81/100,+ Rent or Buy,350
Taxi Driver,1976,18+,8.3/10,81/100,+ Rent or Buy,350
Life Is Beautiful,1997,13+,8.6/10,81/100,+ Rent or Buy,350
Samurai Rebellion,1967,all,8.4/10,81/100,,350
The Meyerowitz Stories (New and Selected),2017,18+,6.9/10,81/100,,350
Ratatouille,2007,all,8.0/10,81/100,+ Rent or Buy,350
The Bourne Identity,2002,13+,7.9/10,81/100,+ Rent or Buy,350
Kapoor & Sons,2016,13+,7.7/10,81/100,+ Rent or Buy,350
Palmer,2021,18+,7.3/10,81/100,,350
Her,2013,18+,8.0/10,81/100,+ Rent or Buy,350
