,,Title,,Year,Rating,,,Available On,,
2,,Outlander,TV,2014,18+,8.4/10,89/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
3,,The Innocent,TV,2021,N/A,8.0/10,76/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
4,,Chicago P.D.,TV,2014,16+,8.1/10,77/100,+ Rent or Buy,164 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
5,,Gomorrah,TV,2014,18+,8.6/10,83/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
6,,Berserk,TV,2016,18+,6.8/10,63/100,+ Rent or Buy,25 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
7,,Snowfall,TV,2017,18+,8.2/10,82/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
8,,Young Sheldon,TV,2017,7+,7.5/10,77/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
9,,Midsomer Murders,TV,1997,7+,7.7/10,72/100,+ Rent or Buy,123 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
10,,WandaVision,TV,2021,16+,8.1/10,88/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
11,,Law & Order,TV,1990,16+,7.7/10,73/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
12,,Bob's Burgers,TV,2011,16+,8.1/10,85/100,+ Rent or Buy,7 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
13,,The Serpent,TV,2021,N/A,7.7/10,75/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,The Umbrella Academy,TV,2019,16+,8.0/10,87/100,,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,Highlander: The Series,TV,1992,16+,7.2/10,66/100,+ Rent or Buy,121 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Good Girls,TV,2018,16+,7.8/10,83/100,+ Rent or Buy,5 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,The Backyardigans,TV,2004,7+,6.9/10,61/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,Criminal Minds,TV,2005,16+,8.0/10,81/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,Brooklyn Nine-Nine,TV,2013,16+,8.4/10,91/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,Zoey's Extraordinary Playlist,TV,2020,16+,8.1/10,80/100,+ Rent or Buy,24 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,Titans,TV,2018,18+,7.7/10,80/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Firefly,TV,2002,16+,9.0/10,90/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,DAVE,TV,2020,18+,8.4/10,76/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,Castlevania,TV,2017,18+,8.2/10,85/100,+ Rent or Buy,No Free Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,Homeland,TV,2011,18+,8.3/10,89/100,+ Rent or Buy,1 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,RuPaul's Drag Race,TV,2009,16+,8.4/10,81/100,+ Rent or Buy,4 Free Episodes,TrackHave You Seen?AllSomeNoneCancel
