,,Title,,Year,Rating,,,Available On,,
13,,South Park,TV,1997,18+,8.7/10,89/100,+Rent or Buy,39Free Episodes,TrackHave You Seen?AllSomeNoneCancel
14,,Schitt's Creek,TV,2015,16+,8.5/10,86/100,+Rent or Buy,81Free Episodes,TrackHave You Seen?AllSomeNoneCancel
15,,The Flash,TV,2014,16+,7.7/10,89/100,+Rent or Buy,15Free Episodes,TrackHave You Seen?AllSomeNoneCancel
16,,Downton Abbey,TV,2010,16+,8.7/10,82/100,+Rent or Buy,49Free Episodes,TrackHave You Seen?AllSomeNoneCancel
17,,Black Monday,TV,2019,18+,7.5/10,70/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
18,,City on a Hill,TV,2019,18+,7.5/10,77/100,+Rent or Buy,11Free Episodes,TrackHave You Seen?AllSomeNoneCancel
19,,RuPaul's Drag Race,TV,2009,16+,8.4/10,81/100,+Rent or Buy,4Free Episodes,TrackHave You Seen?AllSomeNoneCancel
20,,The Rookie,TV,2018,16+,8.0/10,76/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
21,,NCIS: Los Angeles,TV,2009,16+,6.7/10,71/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
22,,Game of Thrones,TV,2011,18+,9.3/10,99/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
23,,Star Trek: Discovery,TV,2017,16+,7.2/10,79/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
24,,Younger,TV,2015,16+,7.8/10,82/100,+Rent or Buy,2Free Episodes,TrackHave You Seen?AllSomeNoneCancel
25,,Dragon Ball Z,TV,1989,7+,8.7/10,80/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
26,,The Crown,TV,2016,18+,8.7/10,88/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
27,,Broadchurch,TV,2013,18+,8.4/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
28,,Happy Valley,TV,2014,16+,8.4/10,80/100,Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
29,,Frasier,TV,1993,7+,8.1/10,83/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
30,,The Stand,TV,2020,18+,5.5/10,66/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
31,,NCIS: New Orleans,TV,2014,16+,6.8/10,67/100,+Rent or Buy,6Free Episodes,TrackHave You Seen?AllSomeNoneCancel
32,,House,TV,2004,16+,8.7/10,92/100,+Rent or Buy,10Free Episodes,TrackHave You Seen?AllSomeNoneCancel
33,,1971: The Year That Music Changed Everything,TV,2021,N/A,7.6/10,58/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
34,,Freaks and Geeks,TV,1999,16+,8.8/10,87/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
35,,Peaky Blinders,TV,2013,18+,8.8/10,93/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
36,,Made For Love,TV,2021,18+,6.9/10,78/100,,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
37,,Kim's Convenience,TV,2016,16+,8.2/10,73/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
38,,Chicago P.D.,TV,2014,16+,8.1/10,77/100,+Rent or Buy,163Free Episodes,TrackHave You Seen?AllSomeNoneCancel
39,,Young Sheldon,TV,2017,7+,7.5/10,77/100,+Rent or Buy,5Free Episodes,TrackHave You Seen?AllSomeNoneCancel
40,,Castlevania,TV,2017,18+,8.2/10,84/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
41,,Homeland,TV,2011,18+,8.3/10,89/100,+Rent or Buy,1Free Episodes,TrackHave You Seen?AllSomeNoneCancel
42,,Killing Eve,TV,2018,16+,8.2/10,86/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
43,,Pokémon,TV,1997,7+,7.5/10,73/100,+Rent or Buy,3Free Episodes,TrackHave You Seen?AllSomeNoneCancel
44,,Quantum Leap,TV,1989,7+,8.1/10,74/100,+Rent or Buy,95Free Episodes,TrackHave You Seen?AllSomeNoneCancel
45,,Good Witch,TV,2015,7+,7.3/10,69/100,+Rent or Buy,NoFree Episodes,TrackHave You Seen?AllSomeNoneCancel
